7zip 24.09-3
aalib 1.4rc5-18
abseil-cpp 20250512.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 48.1-1
adwaita-fonts 49.0-2
adwaita-icon-theme 48.1-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.4.6-1
alsa-lib 1.2.14-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
ani-cli 4.10-1
anki 25.02.7-1
anki-debug 25.02.7-1
aom 3.12.1-1
appstream 1.0.5-2
appstream-qt 1.0.5-2
archlinux-appstream-data 20250529-1
archlinux-keyring 20250430.1-1
argon2 20190702-6
aria2 1.37.0-2
ark 25.04.3-1
at-spi2-core 2.56.3-1
attica 6.15.0-1
attr 2.5.2-1
audit 4.0.5-1
aurorae 6.4.2-1
autoconf 2.72-1
automake 1.18-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
baloo 6.15.0-1
baloo-widgets 25.04.3-1
base 3-2
base-devel 1-2
bash 5.2.037-5
bash-completion 2.16.0-1
bc 1.08.2-1
binutils 2.44+r94+gfe459e33c676-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.4.2-1
blueman 2.4.6-1
bluez 5.83-1
bluez-libs 5.83-1
bluez-qt 6.15.0-1
bolt 0.9.9-1
boost-libs 1.88.0-3
breeze 6.4.2-1
breeze-gtk 6.4.2-1
breeze-icons 6.15.0-1
brotli 1.1.0-3
btop 1.4.4-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.113.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.0-1
cbindgen 0.29.0-1
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.2-1
chromaprint 1.5.1-10
cifs-utils 7.4-1
clang 20.1.7-1
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-16
